epoch,train_loss,lr
1,0.147752,0.0001
2,0.123932,0.0001
3,0.116595,0.0001
4,0.112957,0.0001
5,0.107234,0.0001
6,0.105731,0.0001
7,0.104724,0.0001
8,0.102498,0.0001
9,0.102351,0.0001
10,0.097655,0.0001
11,0.096641,0.0001
12,0.097368,0.0001
13,0.095424,0.0001
14,0.093384,0.0001
15,0.094620,0.0001
16,0.092186,0.0001
17,0.091054,0.0001
18,0.089267,0.0001
19,0.089473,0.0001
20,0.088540,0.0001
21,0.088615,0.0001
22,0.088864,0.0001
23,0.085955,0.0001
24,0.086500,0.0001
25,0.085265,0.0001
26,0.082443,0.0001
27,0.083247,0.0001
28,0.082084,0.0001
29,0.083137,0.0001
30,0.079981,0.0001
